PERMNO,date,TICKER,RET,RETX
21936,31-01-2014,PFE,-0.007509,-0.007509
21936,28-02-2014,PFE,0.064803,0.05625
21936,31-03-2014,PFE,0.000311,0.000311
21936,30-04-2014,PFE,-0.026152,-0.026152
21936,30-05-2014,PFE,-0.044437,-0.052749
21936,30-06-2014,PFE,0.001688,0.001688
21936,31-07-2014,PFE,-0.024259,-0.033019
21936,29-08-2014,PFE,0.024042,0.024042
21936,30-09-2014,PFE,0.006125,0.006125
21936,31-10-2014,PFE,0.012851,0.012851
21936,28-11-2014,PFE,0.048748,0.040067
21936,31-12-2014,PFE,0,0
21936,30-01-2015,PFE,0.00321,0.00321
21936,27-02-2015,PFE,0.1072,0.09824
21936,31-03-2015,PFE,0.013695,0.013695
21936,30-04-2015,PFE,-0.02472,-0.02472
21936,29-05-2015,PFE,0.03242,0.024167
21936,30-06-2015,PFE,-0.035108,-0.035108
21936,31-07-2015,PFE,0.075455,0.075455
21936,31-08-2015,PFE,-0.098724,-0.106489
21936,30-09-2015,PFE,-0.02514,-0.02514
21936,30-10-2015,PFE,0.076727,0.076727
21936,30-11-2015,PFE,-0.022768,-0.031047
21936,31-12-2015,PFE,-0.014953,-0.014953
21936,29-01-2016,PFE,-0.055452,-0.055452
21936,29-02-2016,PFE,-0.017055,-0.026894
21936,31-03-2016,PFE,-0.001011,-0.001011
21936,29-04-2016,PFE,0.103576,0.103576
21936,31-05-2016,PFE,0.070009,0.060838
21936,30-06-2016,PFE,0.014697,0.014697
21936,29-07-2016,PFE,0.047714,0.047714
21936,31-08-2016,PFE,-0.048523,-0.056655
21936,30-09-2016,PFE,-0.026724,-0.026724
21936,31-10-2016,PFE,-0.063773,-0.063773
21936,30-11-2016,PFE,0.023021,0.01356
21936,30-12-2016,PFE,0.010579,0.010579
21936,31-01-2017,PFE,-0.023091,-0.023091
21936,28-02-2017,PFE,0.085408,0.075323
21936,31-03-2017,PFE,0.002638,0.002638
21936,28-04-2017,PFE,-0.008477,-0.008477
21936,31-05-2017,PFE,-0.028007,-0.037441
21936,30-06-2017,PFE,0.02879,0.02879
21936,31-07-2017,PFE,-0.012801,-0.012801
21936,31-08-2017,PFE,0.032569,0.022919
21936,29-09-2017,PFE,0.052476,0.052476
21936,31-10-2017,PFE,-0.017927,-0.017927
21936,30-11-2017,PFE,0.043354,0.034227
21936,29-12-2017,PFE,-0.001103,-0.001103
21936,31-01-2018,PFE,0.022639,0.022639
21936,28-02-2018,PFE,-0.010529,-0.019708
